Word,Importance
were,12.859248809219789
No,0.4189306456630638
no,0.350618897568884
found,0.20145251314978468
outraged,0.19364032811292095
YORK,0.1853030557957997
Obama,0.16868836859289027
when,0.15116989245892695
forced,0.09966867439778085
produce,0.08911263637247373
from,0.07892522079266737
I,0.07416758302355199
land,0.07264399392264684
House,0.06428220033169944
The,0.06154889478209102
sanctions,0.0558782594851012
a,0.05431612544329044
President,0.05020268197308228
what,0.04346894490693522
arrested,0.03921689300148212
While,0.036201226822495575
times,0.035735590513318954
year,0.03456251022952794
U,0.03375200416015139
worked,0.03224374426608176
hurt,0.03213043042650349
soldiers,0.03158404436650273
secretary,0.027728051266157856
sent,0.027278119986536765
black,0.026691753026358348
continent,0.026668804019259054
New,0.021151156491333385
street,0.020806718659238554
departure,0.0206253076233917
or,0.019987965577935616
old,0.01978585100136453
accounting,0.019611067800991547
drug,0.019078286378380983
MOSCOW,0.019058893044307107
next,0.01669057694569683
designed,0.015153818567296487
Russian,0.01457848250852568
many,0.014448123016364783
power,0.013911962128472434
elsewhere,0.013730744180557149
also,0.01318333623354018
Romanian,0.013056979897292008
by,0.012544668034588681
webcam,0.012531628906251807
quantities,0.012348825001207146
often,0.011652815214687435
able,0.009701103896761815
discussing,0.009613851785166697
budget,0.009472120063270743
MADRID,0.009163341709481125
month,0.008900859946084283
captured,0.008291954857690121
Egypt,0.00791625416425712
detained,0.007297442643181123
Supreme,0.00729607667274546
over,0.007134644729079728
A,0.006823859463302324
Arkady,0.006659462367799083
finish,0.0066238540112269016
Dvorkovich,0.006417917552512933
actions,0.006139500228569894
Deputy,0.005943612241403708
But,0.0054960801183871165
ranted,0.005166304656493019
Minister,0.005034847064739168
widespread,0.004787798566035533
acceleration,0.004765138735099959
where,0.004757628978204105
they,0.004143634971288568
alongside,0.004124317744768327
bond,0.004121517775655026
rascal,0.004057856792834643
reached,0.0038988395290121504
Terry,0.003703239746969312
has,0.002319588409504982
following,0.002309022763897403
Reid,0.002005626232946683
harmonize,0.0017456678816273011
ago,0.0016515864512681837
facebook,0.0014688916078858096
official,0.001458504308616967
responsibilities,0.0014491509292273363
East,0.0013913174092560511
Corden,0.001164192316640966
acknowledged,0.0010398092663547148
depend,0.0008740223559625319
status,0.0006044439719922756
Pope,0.0005200013800115631
committing,0.00031048917851814097
toughen,0.00029378668669150095
AIDS,0.00028486790246203675
battle,0.00027921990066759317
party,0.00027690025450767634
uh,0.0002748833047098358
Jerusalem,0.0002515662022138562
kidnap,0.00023522547408418257
very,0.00022853686389386464
appear,0.0002100924126160761
pretend,0.00020712525179172596
notice,0.00019094699885535804
agency,0.00018022015081365486
week,0.0001684981457550966
Drugmakers,0.0001639656558973719
e,0.0001596940996440112
antibiotic,0.00015468355197709253
moments,0.00014661458275738352
specialty,0.00014562884801884188
procedure,0.0001325659108712051
Daily,0.00012734224790416154
internal,0.00012697639823442162
embargo,0.00012453302228381666
missile,0.00012359945485366976
millionaire,9.970626551130547e-05
aerospace,7.787748288585306e-05
Moscow,7.564120878391026e-05
more,6.0628782338024214e-05
Thursday,5.8050739284318186e-05
sense,5.690055208772182e-05
probe,5.4486906518133786e-05
alternative,4.9876794304612116e-05
Kirby,4.7613094975659356e-05
resolve,3.8785563727468035e-05
Radio,3.604183580181788e-05
Trust,2.4448899481773793e-05
Chuck,2.3858226012517486e-05
his,2.32502750209782e-05
Democratic,2.3132442453295496e-05
rights,2.2166190350526415e-05
of,2.1806722673449336e-05
speech,2.124993362546777e-05
state,2.0959176923042237e-05
like,2.0790285877819463e-05
Jinping,2.0490129949608083e-05
contravening,1.9887360542632046e-05
page,1.8258532121658308e-05
been,1.8173804601373206e-05
Patrick,1.7578389483445004e-05
mentally,1.74556384174166e-05
fire,1.6484251837890473e-05
BEIJING,1.519130143794068e-05
support,1.5162008305700774e-05
THEMES,1.1705496382737662e-05
Budget,1.1636401574403606e-05
health,1.1623671204683558e-05
doesn,1.1076473941301627e-05
ggI0qpPR78,9.997863452460176e-06
American,9.56366401140768e-06
WIRE,9.53246728724758e-06
States,9.020293103234148e-06
pretty,8.589581102057881e-06
through,7.950129031592956e-06
another,7.162084460385497e-06
assassination,6.6119543409455254e-06
code,5.89631957230263e-06
000,5.448276850022737e-06
history,5.191245484417375e-06
Alternate,4.785080048946717e-06
City,4.287717380338845e-06
second,3.997090480850949e-06
exports,3.990900259371779e-06
ask,3.8851825037950084e-06
main,3.605827845430897e-06
Nowicki,3.2482895430977834e-06
chief,2.7505037355580167e-06
Iraq,2.6685553559352477e-06
Ed,2.5142693188319635e-06
understanding,2.162104078228088e-06
despite,1.937458064581939e-06
blueprint,1.9156165245470687e-06
continues,1.8997403971766753e-06
women,1.8566505013530847e-06
moving,1.7505548167007396e-06
surprised,1.7102087144859866e-06
centre,1.6059603097103041e-06
liberal,1.4883944438237455e-06
12,1.248946311452911e-06
say,1.1382042759903637e-06
problematic,5.018022207626253e-07
higher,4.0936132375881763e-07
criticize,3.1146176435741027e-07
there,2.998756586507951e-07
beleaguered,2.956999720355699e-07
governments,2.907952803246009e-07
Sisi,2.8781716016229417e-07
Democrats,2.56276141825449e-07
nan,2.1858284436259973e-07
usual,1.9620811776010233e-07
image,1.220105197187692e-07
ISTANBUL,1.187450712007569e-07
trips,7.901914462826318e-08
contained,4.192318872975132e-08
email,2.485770813339014e-08
aid,2.250245653901292e-08
investment,-1.5722364112393467e-08
thing,-2.485456415805359e-08
untouched,-2.640444236931306e-08
fair,-3.816387160497862e-08
discussed,-3.882897964491489e-08
debt,-4.666339877945377e-08
try,-4.6797422455193766e-08
called,-6.477010797537699e-08
United,-6.964105649367444e-08
McCain,-8.280487800671117e-08
rebel,-1.0955942665430168e-07
close,-1.2353592333981664e-07
For,-1.7634449201552656e-07
Davis,-1.8090743994828324e-07
all,-1.9296711496563977e-07
numbers,-1.9345072049073295e-07
W,-2.0740884350493684e-07
demanding,-3.0295491492413913e-07
tourism,-3.0897821879845746e-07
attending,-3.243150774392655e-07
J,-3.249402589468311e-07
scaredy,-3.6895651830964513e-07
triggered,-3.7532954740906695e-07
heads,-4.0943817995287665e-07
Miller,-5.22220322985487e-07
our,-5.483461211449862e-07
www,-6.008988635002538e-07
Stevens,-6.118270502051751e-07
are,-6.230786658033659e-07
commander,-6.554312816548524e-07
Roger,-7.167366521908719e-07
pressure,-7.377471872827165e-07
replace,-7.5545885461155e-07
little,-7.887949642929026e-07
Italian,-8.093391264500845e-07
secret,-8.119071160820262e-07
pace,-8.124252377690002e-07
judges,-8.209669010734631e-07
profile,-9.555208339030376e-07
helping,-1.0737234353215032e-06
think,-1.0844926990083302e-06
40,-1.1259154083301956e-06
vandalism,-1.138039150796948e-06
started,-1.1497894250789077e-06
couple,-1.2024006148741202e-06
so,-1.2258900517021484e-06
reporters,-1.231785827110662e-06
anyone,-1.3070834028428383e-06
So,-1.3469236572348042e-06
plus,-1.5036157867720087e-06
curbs,-1.5108214748475875e-06
monitor,-1.5454510867652476e-06
postponed,-1.6020350704894222e-06
government,-1.6872117908132036e-06
aspect,-1.7234570185683054e-06
place,-1.73712613016419e-06
establishment,-1.756503139947344e-06
Committee,-1.7844440296632007e-06
troubled,-1.9619398217208332e-06
parts,-2.0811454635373765e-06
contender,-2.2027033755149505e-06
Critics,-2.2556579048692947e-06
Not,-2.2686344615588327e-06
publicly,-2.2726893138891423e-06
BAGHDAD,-2.429380920486225e-06
especially,-2.468246072744349e-06
event,-2.6231678729322517e-06
Twin,-2.7086467094696176e-06
Iraqi,-2.8498156433621806e-06
destabilize,-2.9832111872872336e-06
lot,-3.056626973332891e-06
business,-3.386569958150361e-06
giant,-3.871879880661732e-06
former,-4.001735388050826e-06
applying,-4.260616379779529e-06
warned,-4.400053386544192e-06
comments,-5.302122749632762e-06
example,-6.211313684939969e-06
abusing,-6.756863385345819e-06
which,-7.847315652113198e-06
ACR,-8.92221663659227e-06
ONLY,-9.067204963262003e-06
His,-9.456162461585413e-06
38,-9.51386388890709e-06
clearly,-9.713872877798526e-06
It,-1.0763791020494498e-05
top,-1.0796204383131526e-05
film,-1.0935383997238745e-05
separate,-1.1141921666123637e-05
t,-1.123985646436809e-05
Network,-1.1257784312370217e-05
safeguard,-1.1744997780086906e-05
Whatever,-1.1909687459754452e-05
that,-1.3797816212053825e-05
oppose,-1.3818645191409996e-05
Libyan,-1.8959733454976705e-05
SHOUT,-1.931202598804829e-05
done,-2.1297298087621633e-05
any,-2.2347837296097894e-05
Syria,-2.4374535783990532e-05
protest,-2.5843271491516046e-05
China,-2.76444048012419e-05
declared,-2.9199807101299703e-05
Catalonia,-3.09082876986412e-05
Foreign,-3.1545481632271016e-05
1,-3.231106427077078e-05
Senate,-3.2624697914900633e-05
risk,-3.65230326124735e-05
counterpart,-3.658751974392781e-05
Lebanese,-3.8226488906548916e-05
Yi,-4.010692363305198e-05
isn,-4.598589060185196e-05
And,-4.6350885180961944e-05
irreversible,-4.69913267686993e-05
want,-4.842991124708531e-05
independence,-5.2546664619234764e-05
When,-6.398674380936786e-05
enemy,-6.827508128041281e-05
scheduled,-6.890875687947901e-05
stockpile,-7.133145787509373e-05
December,-7.145419233698664e-05
Reference,-7.215670758951625e-05
Cochran,-7.596384006259584e-05
warheads,-7.867290383473062e-05
getting,-8.976960545536208e-05
at,-9.521408402942505e-05
talking,-0.00010030196708622999
about,-0.00010284266490421811
position,-0.00010485171821303961
School,-0.00012648632492811939
banning,-0.0001280476565751925
Intelligence,-0.00014236900651601282
Guards,-0.00015385652532937084
Barack,-0.00015478192565372982
believes,-0.00017108298752869716
500,-0.00022169974834358383
four,-0.0002351688383041198
Sesame,-0.0002445833169185959
plans,-0.00025423024873854206
teach,-0.00026493998126798744
director,-0.0002724340972183966
Mulvaney,-0.0002844780482191813
Iran,-0.0003136435054059606
MANILA,-0.0003485503437047323
persuade,-0.00039705684541704373
Obamacare,-0.00042530694814829937
day,-0.0005077842920629323
possibly,-0.0005227237594135504
WASHINGTON,-0.0005378805330803651
contest,-0.000695061228170372
son,-0.0007268309371091571
re,-0.0007935896305719662
wrote,-0.0008219604615137844
groping,-0.0008428981052050949
nation,-0.0009943726936032869
Federation,-0.0010097790058937045
retroactive,-0.0010857340937701044
bloody,-0.001311352244614809
military,-0.0018439783503335495
Korea,-0.001845943687480263
good,-0.0019170031060083174
comment,-0.0019297794273336543
me,-0.0021406677632366845
presidential,-0.0021792534141318537
Any,-0.0021810787712917812
president,-0.0022143052398403977
read,-0.002781389661196929
Priebus,-0.00289162637563636
view,-0.0029885279001020983
Nancy,-0.003249978160565582
FOX,-0.0033849952994848566
White,-0.0034363295058970856
it,-0.0036836207815804235
Republican,-0.003686970361766413
This,-0.0037497857022016625
two,-0.0038056644246616056
drama,-0.00382148727633176
ever,-0.003941979567749704
be,-0.0042443268824447185
specific,-0.004459766424438714
Their,-0.004550262520082176
received,-0.0050152653973468565
What,-0.005208904172199816
L1N16I1RJ,-0.005218361876339685
groups,-0.005649973041430089
overlooking,-0.005920541072537161
Nielsen,-0.006120756809402178
broadcast,-0.006268969885896784
Iranian,-0.006407290411446812
brought,-0.006500023197027854
simply,-0.006500736361355376
TV,-0.0072860743750795395
will,-0.007572909062731498
country,-0.007808963614236592
people,-0.009213411252810118
leaders,-0.009736700505191301
Houston,-0.010521697958304628
attack,-0.010556864281895617
its,-0.010708990359775608
Hawthorne,-0.010858316182401703
incidents,-0.011490419901782753
on,-0.012145025311945765
inflame,-0.012149435049048954
damaged,-0.012336810366723057
Sheriff,-0.013031438808311546
results,-0.01332084628276871
investigating,-0.01380381360281846
judge,-0.014939423177437421
don,-0.015374832117553501
Britain,-0.015866546526774522
related,-0.015914241104333274
Cook,-0.016429869242041612
always,-0.01662620368502718
LONDON,-0.016774247934564133
Morales,-0.016870979379848442
arrived,-0.017475647720814835
June,-0.01834480555570406
agreement,-0.018461145798143754
Madrid,-0.018616110988679924
Protests,-0.018910555392186203
big,-0.019459305071865204
2003,-0.020060352951382702
subject,-0.020483209728099062
an,-0.020791058721189595
rule,-0.02100134853319702
Conway,-0.021290049894748458
rescind,-0.02144475481372985
streets,-0.02148008443755986
prepared,-0.021912092330589095
earthquake,-0.02191942796423783
before,-0.022196572883933265
John,-0.02220327278680756
giving,-0.022367402048425678
Puigdemont,-0.02269157245785151
Garcia,-0.022918462655479026
previously,-0.023006037084962128
killed,-0.023193641775851107
these,-0.02347233123312051
war,-0.024522807411805986
Islamic,-0.025122176461994185
after,-0.02616118388916969
the,-0.02618783779510965
York,-0.026350323381037856
based,-0.027311213698463704
Russia,-0.027754337584566944
take,-0.02861167120757833
struck,-0.02867701505106752
Awards,-0.029531351301010738
used,-0.02961652047914033
Rombot,-0.02975666512594898
won,-0.02976617223111029
Department,-0.030001601507534063
persecution,-0.030149427363327333
protesters,-0.030286374839565186
but,-0.030350744750987275
tabulated,-0.030840889147378453
law,-0.030948340115249794
out,-0.03173122034586934
Kahimbi,-0.032169889483061
comply,-0.03267461285598253
vote,-0.032678764164937577
19,-0.03275541634770855
deal,-0.03298048570210362
qualifying,-0.03372558220630474
made,-0.03441753028011723
security,-0.03501035035584452
city,-0.03538465238229757
embassy,-0.03597860584300487
measure,-0.03620153674650316
person,-0.03879107899623447
amnesty,-0.039985302410235846
spokesman,-0.042216377199905314
minority,-0.043335445058924206
with,-0.04344522916095931
island,-0.04410167546999382
panel,-0.044233300055205205
Friday,-0.04605409252670074
have,-0.04774472106728781
Congo,-0.04884913099551647
deployed,-0.05101186263070735
toward,-0.055096051419834556
anonymously,-0.05544668510691701
again,-0.055683402311850316
told,-0.05706437523788354
as,-0.060551606643743865
Golden,-0.06301730839044188
doing,-0.06648772184774135
Captain,-0.06717882830406977
THEIR,-0.06907209332228922
intelligence,-0.07042007370112331
can,-0.071009185980938
peaceful,-0.07173077036270077
is,-0.07495505252546938
EU,-0.07722545106145515
Vergara,-0.07726842488849507
financing,-0.080374806982708
waters,-0.08146653843202475
fight,-0.08302936329409416
insured,-0.08476047308075232
